DEBUG 2025-01-24 12:24:57,488 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/requests/status_codes.py first seen with mtime 1729518120.0
DEBUG 2025-01-24 12:24:57,489 autoreload File /usr/local/lib/python3.11/types.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,492 autoreload File /src/education/models.py first seen with mtime 1736171951.0835102
DEBUG 2025-01-24 12:24:57,493 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/rest_framework/authentication.py first seen with mtime 1729518142.0
DEBUG 2025-01-24 12:24:57,493 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/celery/app/annotations.py first seen with mtime 1729518143.0
DEBUG 2025-01-24 12:24:57,494 autoreload File /usr/local/lib/python3.11/textwrap.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,495 autoreload File /usr/local/lib/python3.11/html/entities.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,499 autoreload File /src/api/apps.py first seen with mtime 1729516001.2901702
DEBUG 2025-01-24 12:24:57,500 autoreload File /usr/local/lib/python3.11/asyncio/format_helpers.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,501 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/lib/fonts.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,502 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/pdfgen/__init__.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,503 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/chardet/jisfreq.py first seen with mtime 1729518128.0
DEBUG 2025-01-24 12:24:57,504 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/db/models/functions/math.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,504 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/files/storage/__init__.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,505 autoreload File /usr/local/lib/python3.11/collections/abc.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,506 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/render_block/__init__.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,506 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/servers/basehttp.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,507 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/platypus/doctemplate.py first seen with mtime 1729518145.0
DEBUG 2025-01-24 12:24:57,507 autoreload File /usr/local/lib/python3.11/urllib/__init__.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,508 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/admin/templatetags/__init__.py first seen with mtime 1729518124.0
